"","pert_iname","mean","n","median","sd","sRGES"
"2846","BRD-K26906367",0.0367014315359345,2,0.0367014315359345,0.0125496442633551,0.0367014315359345
"11854","verrucarin-a",0.0367020676972384,8,0.0352574617409065,0.00538296979029231,0.0367020676972384
"9696","flurandrenolide",0.0367042306470524,2,0.0367042306470524,0.0116246827479452,0.0367042306470524
"441","BRD-A19928752",0.0367108417700796,4,0.0369209082826321,0.00430184696609566,0.0367108417700796
"3733","BRD-K37477851",0.0367156239048572,1,0.0367156239048572,NA,0.0367156239048572
"10540","NGB-2904",0.0367162718271894,2,0.0367162718271894,0.0125286569221929,0.0367162718271894
"10665","oxibendazole",0.0367369516447822,11,0.0334238663631806,0.00868328054425471,0.0367369516447822
"11861","vinblastine",0.0367373692444864,32,0.0325661190530926,0.00970096720539516,0.0367373692444864
"7937","BRD-K87432599",0.0367412057820139,2,0.0367412057820139,0.00676916200668058,0.0367412057820139
"11867","vinpocetine",0.0367574436761158,7,0.0319546854241397,0.00778001397252316,0.0367574436761158
"1033","BRD-K04516579",0.0367717731947448,3,0.0388041973894624,0.00642063404887583,0.0367717731947448
"10915","PU-H71",0.036781139485874,11,0.035786565844051,0.00843715501109058,0.036781139485874
"155","anagrelide",0.0367979568162534,3,0.039039890011692,0.00486758655985324,0.0367979568162534
"3487","BRD-K34596778",0.0368125530282269,2,0.0368125530282269,0.00470655146811728,0.0368125530282269
"11381","sarafloxacin",0.0368151693277603,2,0.0368151693277603,0.00866497032043664,0.0368151693277603
"689","BRD-K00366212",0.0368166799020565,5,0.0318273588083052,0.0137910852277858,0.0368166799020565
"11393","SB-218795",0.0368273614923013,6,0.0372335412900315,0.00626956570356958,0.0368273614923013
"9501","EI-247",0.0368291989094795,8,0.0374024601893965,0.00698265263675805,0.0368291989094795
"406","BRD-A06909528",0.0368367277775946,2,0.0368367277775946,0.0123583064834613,0.0368367277775946
"10522","nateglinide",0.0368374477477334,2,0.0368374477477334,0.0136697185004038,0.0368374477477334
"9506","eicosatrienoic-acid",0.0368489895694632,2,0.0368489895694632,0.0101350643061225,0.0368489895694632
"1468","BRD-K09929560",0.0368494902008895,1,0.0368494902008895,NA,0.0368494902008895
"2765","BRD-K25789307",0.0368494902008895,1,0.0368494902008895,NA,0.0368494902008895
"3228","BRD-K31487013",0.0368494902008895,1,0.0368494902008895,NA,0.0368494902008895
"3972","BRD-K40410846",0.0368494902008895,1,0.0368494902008895,NA,0.0368494902008895
"5075","BRD-K53437983",0.0368494902008895,1,0.0368494902008895,NA,0.0368494902008895
"8973","BRD-M09121311",0.0368494902008895,1,0.0368494902008895,NA,0.0368494902008895
"376","BMY-7378",0.0368535384835252,3,0.0323409386118204,0.0105782802624247,0.0368535384835252
"6803","BRD-K74109131",0.036860689540017,4,0.0369129435752588,0.00992726499540952,0.036860689540017
"3382","BRD-K33182644",0.036862850391038,4,0.0323104606423407,0.0124748900638843,0.036862850391038
"8138","BRD-K89784888",0.0368656397895867,4,0.031276065443262,0.014270699221276,0.0368656397895867
"9154","CGK-733",0.0368818605692052,14,0.0358745684254115,0.0057181554139912,0.0368818605692052
"11669","thioperamide",0.0368878011863714,3,0.0398502849361393,0.0114939991259115,0.0368878011863714
"516","BRD-A51929314",0.036903106694446,3,0.0388041973894624,0.00687275673686048,0.036903106694446
"9789","GR-79236",0.0369111705337533,3,0.0361890652061242,0.00228285380554504,0.0369111705337533
"945","BRD-K03319520",0.0369122574144399,1,0.0369122574144399,NA,0.0369122574144399
"8472","BRD-K94034047",0.0369122574144399,1,0.0369122574144399,NA,0.0369122574144399
"9787","GR-46611",0.0369209082826321,2,0.0369209082826321,0.00455331399778303,0.0369209082826321
"11997","ZD-7288",0.0369209082826321,2,0.0369209082826321,0.00455331399778303,0.0369209082826321
"9428","dinoprost",0.0369226500698631,2,0.0369226500698631,0.0119335744579698,0.0369226500698631
"9710","fosinopril",0.0369248207503159,2,0.0369248207503159,0.00206250056265266,0.0369248207503159
"9831","H-8",0.0369502204457645,7,0.0374641139455431,0.00849808783882931,0.0369502204457645
"5320","BRD-K56392985",0.0369545532455692,1,0.0369545532455692,NA,0.0369545532455692
"10770","phenytoin",0.0369545532455692,1,0.0369545532455692,NA,0.0369545532455692
"9919","ichthynone",0.0369737325232748,10,0.0355524551241702,0.00604000646389128,0.0369737325232748
"3","1-phenylbiguanide",0.0369818955538304,2,0.0369818955538304,0.0103230217517352,0.0369818955538304
"11064","RS-56812",0.0369874602791012,3,0.039625001928422,0.00693310078120367,0.0369874602791012
"663","BRD-K00069117",0.0369970343778225,7,0.0387136284230812,0.00461344531228792,0.0369970343778225
"6156","BRD-K66634822",0.0370298543714349,2,0.0370298543714349,0.0120851842351974,0.0370298543714349
"11893","VU-0413807-2",0.0370302326121028,4,0.0373998927094482,0.00613619650007982,0.0370302326121028
