"","pert_iname","mean","n","median","sd","sRGES"
"199","aristolochic-acid",-0.0775044092274682,10,-0.0749543907080708,0.0445398607833966,-0.0775044092274682
"10280","mafenide",-0.0774958226294063,18,-0.071587400164056,0.0454166831401969,-0.0774958226294063
"6521","BRD-K70983703",-0.0774935071000324,8,-0.0709372879292799,0.0458698275250199,-0.0774935071000324
"452","BRD-A25829966",-0.0774883202465002,8,-0.0799919787885461,0.0439082007807993,-0.0774883202465002
"8857","BRD-K98739056",-0.077485859806351,10,-0.071334703015557,0.0486878767867096,-0.077485859806351
"5935","BRD-K63947990",-0.0774844113614065,10,-0.0771839768418806,0.0435592175013979,-0.0774844113614065
"11263","SA-243929",-0.0774844113614065,10,-0.0771839768418806,0.0435592175013979,-0.0774844113614065
"11358","SA-96805",-0.0774844113614065,10,-0.0771839768418806,0.0435592175013979,-0.0774844113614065
"1048","BRD-K04695623",-0.0774811269472988,18,-0.0713508737092982,0.0443051869372424,-0.0774811269472988
"2068","BRD-K17739445",-0.0774747378403941,12,-0.0713508737092982,0.0483215969895674,-0.0774747378403941
"7018","BRD-K76363932",-0.0774727196349024,4,-0.0755846103183248,0.049838136446499,-0.0774727196349024
"4309","BRD-K44417704",-0.0774692811757723,12,-0.071334703015557,0.0475077903540949,-0.0774692811757723
"450","BRD-A25170757",-0.0774667376259615,14,-0.07320272556115,0.0459805527866646,-0.0774667376259615
"11337","SA-84902",-0.0774601847484564,6,-0.0757271016241345,0.047284722823185,-0.0774601847484564
"10445","mosapride",-0.0774489338157924,16,-0.0713508737092982,0.0464727047471136,-0.0774489338157924
"3382","BRD-K33182644",-0.0774389277978326,8,-0.0775837352363948,0.044371660905756,-0.0774389277978326
"11939","WYE-125132",-0.0774344246803009,102,-0.0760106845734194,0.0414263823860718,-0.0774344246803009
"9751","gemcitabine",-0.0774106413998774,146,-0.0564544207569261,0.0425772123071833,-0.0774106413998774
"9883","HY-11007",-0.077402359272433,62,-0.0810281326143988,0.0447310190474872,-0.077402359272433
"11195","SA-1919710",-0.0773943641705362,8,-0.0823128551757216,0.0428547593673321,-0.0773943641705362
"11043","ropinirole",-0.0773926334391999,16,-0.0766145401724601,0.0468902024014763,-0.0773926334391999
"3754","BRD-K37724988",-0.0773897767148272,8,-0.0713508737092982,0.050435868171241,-0.0773897767148272
"9150","cetirizine",-0.0773897767148272,8,-0.0713508737092982,0.050435868171241,-0.0773897767148272
"408","BRD-A08610364",-0.0773892783592395,4,-0.0741162821986303,0.0498572321078168,-0.0773892783592395
"489","BRD-A39599596",-0.0773892783592395,4,-0.0741162821986303,0.0498572321078168,-0.0773892783592395
"7122","BRD-K77681376",-0.0773877426679504,16,-0.0766145401724601,0.0468903704085441,-0.0773877426679504
"9199","chromomycin-a3",-0.0773877426679504,16,-0.0766145401724601,0.0468903704085441,-0.0773877426679504
"8065","BRD-K88899793",-0.0773855520633754,10,-0.0757271016241345,0.0449409883236491,-0.0773855520633754
"6855","BRD-K74623475",-0.0773812636329801,14,-0.0714948197320983,0.0460499213326007,-0.0773812636329801
"9799","GSK-2126458",-0.0773803118603308,78,-0.0800599653119851,0.0415696323750299,-0.0773803118603308
"9955","indoprofen",-0.0773734270937587,6,-0.0756699515501994,0.0467821014031124,-0.0773734270937587
"29","5-iodotubercidin",-0.0773684108760691,18,-0.0766145401724601,0.0463076054312497,-0.0773684108760691
"554","BRD-A68721828",-0.0773578324771691,12,-0.0713508737092982,0.0482730844216544,-0.0773578324771691
"6030","BRD-K65148580",-0.0773416385322723,14,-0.0751678547526824,0.042186683098435,-0.0773416385322723
"1640","BRD-K12360898",-0.0773404506293606,2,-0.0773404506293606,0.0504792110488054,-0.0773404506293606
"6826","BRD-K74292317",-0.0773302321356991,8,-0.0749932756694239,0.0444344147294899,-0.0773302321356991
"9572","erythromycin",-0.0773201153256874,30,-0.071334703015557,0.0455024588709115,-0.0773201153256874
"5079","BRD-K53475565",-0.077312773159421,10,-0.0757085089621095,0.0458536279986002,-0.077312773159421
"8872","BRD-K98936959",-0.0773124915848098,14,-0.0709212899786627,0.0429789205643867,-0.0773124915848098
"9873","homoharringtonine",-0.077306940041465,104,-0.0754831503054685,0.0520607405604513,-0.077306940041465
"10619","NVP-BEZ235",-0.0773068956849771,148,-0.0632214035947641,0.0408677564318008,-0.0773068956849771
"9425","dimaprit",-0.0773032653053106,2,-0.0773032653053106,0.0504792110488054,-0.0773032653053106
"11538","staurosporine",-0.0772954052800242,36,-0.0766145401724601,0.0457144571888854,-0.0772954052800242
