"","pert_iname","mean","n","median","sd","sRGES"
"543","BRD-A64850503",-0.0632846283218223,3,-0.0633757634474743,0.00278540105643343,-0.0632846283218223
"3587","BRD-K36022244",-0.0632846283218223,3,-0.0633757634474743,0.00278540105643343,-0.0632846283218223
"5939","BRD-K63979920",-0.0632846283218223,3,-0.0633757634474743,0.00278540105643343,-0.0632846283218223
"9191","chlorphenamine",-0.0632846283218223,3,-0.0633757634474743,0.00278540105643343,-0.0632846283218223
"10144","KUC104502N",-0.0632846283218223,3,-0.0633757634474743,0.00278540105643343,-0.0632846283218223
"10731","pentylenetetrazol",-0.0632846283218223,3,-0.0633757634474743,0.00278540105643343,-0.0632846283218223
"1343","BRD-K08251038",-0.0632822394043336,7,-0.0639582795323482,0.00641601083649043,-0.0632822394043336
"11117","SA-1457187",-0.06327925848051,12,-0.0637145724858426,0.00399664428688038,-0.06327925848051
"4427","BRD-K45675241",-0.0632791161680325,3,-0.0633757634474743,0.00279380491539954,-0.0632791161680325
"10288","marmesin",-0.0632791161680325,3,-0.0633757634474743,0.00279380491539954,-0.0632791161680325
"10497","n-formylmethionylalanine",-0.0632791161680325,3,-0.0633757634474743,0.00279380491539954,-0.0632791161680325
"803","BRD-K01594626",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"951","BRD-K03416270",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"1058","BRD-K04831789",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"1352","BRD-K08369728",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"1650","BRD-K12484704",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"1700","BRD-K13079805",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"1926","BRD-K15935695",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"2001","BRD-K16778485",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"2011","BRD-K16930636",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"2050","BRD-K17554130",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"2348","BRD-K20721504",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"2406","BRD-K21463062",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
"2471","BRD-K22428007",-0.0632778565311173,2,-0.0632778565311173,0.0115778653974185,-0.0632778565311173
